stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
"435-03","","沼館三丁目","","40.528237","141.490788","Z435-03","","0","","","",""
"434-01","","沼館一丁目","","40.525784","141.492161","Z434-01","","0","","","",""
"254-01","","城下四丁目","","40.523447","141.491671","Z254-01","","0","","","",""
"251-01","","城下一丁目","","40.519210","141.490838","Z251-01","","0","","","",""
"435-04","","沼館三丁目","","40.528086","141.490822","Z435-04","","0","","","",""
"285-02","","城北小学校通","","40.531823","141.478566","Z285-02","","0","","","",""
"344-02","","石堂四丁目","","40.534322","141.479954","Z344-02","","0","","","",""
"346-02","","高州一丁目","","40.535910","141.481785","Z346-02","","0","","","",""
"515-02","","八太郎","","40.538197","141.485329","Z515-02","","0","","","",""
"437-01","","根岸小学校前","","40.539649","141.485227","Z437-01","","0","","","",""
